n,z,alpha(keV)
2,2,0
3,2,735
2,3,1964.9999
3,3,-1473.7583
4,3,-2467.6221
5,3,-6100.2403
6,3,-10362.4579
7,3,-11248.0128
8,3,-10832
3,4,-1587.1371
4,4,91.8399
5,4,-2307.6989
6,4,-7409.5245
7,4,-8320.8746
8,4,-8956.8373
9,4,-9701.6627
10,4,-11667.5601
2,5,-3415
3,5,-4826.5368
4,5,-1687.3169
5,5,-4461.1857
6,5,-8664.3124
7,5,-10001.3225
8,5,-10817.8729
9,5,-11813.8576
10,5,-14195.795
11,5,-14322.7938
12,5,-15689.4889
3,6,-10653
4,6,-5101.2767
5,6,-7544.5165
6,6,-7366.5875
7,6,-10648.3575
8,6,-12012.5091
9,6,-12728.9395
10,6,-13808.5442
11,6,-15052.1159
12,6,-17460.1527
13,6,-19836.982
14,6,-22368.4878
3,7,-10945
4,7,-5735.8247
5,7,-8008.4167
6,7,-9495.9206
7,7,-11612.1097
8,7,-10991.1859
9,7,-10110.4066
10,7,-11116.7852
11,7,-12975.4343
12,7,-15526.0403
13,7,-17770.1168
14,7,-20909.3222
15,7,-22452.7511
16,7,-25474.7374
17,7,-24888
18,7,-24825
4,8,-5475.8501
5,8,-8220.4554
6,8,-10115.8076
7,8,-10218.6907
8,8,-7161.918
9,8,-6358.6894
10,8,-6227.6255
11,8,-8965.2032
12,8,-12322.8773
13,8,-15394.7616
14,8,-18061.1494
15,8,-20217.2997
16,8,-21428.0782
17,8,-20739
18,8,-21375.0782
19,8,-21926
5,9,-9260.5406
6,9,-10223.8076
7,9,-9087.8022
8,9,-5818.6957
9,9,-4415.2202
10,9,-4013.7991
11,9,-8126.2863
12,9,-10342.5998
13,9,-12744.7075
14,9,-14995.9075
15,9,-16646.8978
16,9,-16322.6644
17,9,-15515.0654
18,9,-14011.8669
19,9,-15959
20,9,-18258
5,10,-9948.4554
6,10,-10451.4758
7,10,-9039.8956
8,10,-5115.0797
9,10,-3528.4845
10,10,-4729.8459
11,10,-7347.928
12,10,-9666.8153
13,10,-10911.8187
14,10,-12172.73
15,10,-12522.4526
16,10,-11226.8344
17,10,-9995.3765
18,10,-9625.5821
19,10,-11354.143
20,10,-13805.8365
21,10,-15913
22,10,-17506
6,11,-9735
7,11,-9351.3267
8,11,-6062.2835
9,11,-6249.6092
10,11,-6561.4745
11,11,-8479.4198
12,11,-10467.3243
13,11,-10825.3534
14,11,-11735.1243
15,11,-12079.0722
16,11,-11227.9698
17,11,-10957.747
18,11,-11079.0889
19,11,-12624.9011
20,11,-15312.3624
21,11,-17188.5604
22,11,-18794.9932
23,11,-19705
24,11,-21436
7,12,-10801.8956
8,12,-8933.997
9,12,-8021.5172
10,12,-8142.5196
11,12,-9650.644
12,12,-9316.5618
13,12,-9885.9215
14,12,-10614.7437
15,12,-11857.4651
16,12,-11493.219
17,12,-11001.7729
18,12,-11787.402
19,12,-12597.9777
20,12,-14553.5547
21,12,-15861.846
22,12,-17381.7116
23,12,-17966.7238
24,12,-19044
25,12,-20344
26,12,-21192
8,13,-10055
9,13,-9262
10,13,-8606.2292
11,13,-9324.2165
12,13,-9156.0324
13,13,-9453.6638
14,13,-10091.9259
15,13,-10857.7346
16,13,-11274.8645
17,13,-11428.2519
18,13,-11857.8341
19,13,-12535.969
20,13,-13602.2918
21,13,-13897.2044
22,13,-14894.677
23,13,-15114.6831
24,13,-16395.4644
25,13,-17635
26,13,-18767
27,13,-19507
28,13,-20969
29,13,-22340
30,13,-24132
9,14,-10314
10,14,-9157.4242
11,14,-9501.4448
12,14,-9165.9328
13,14,-9335.7466
14,14,-9984.1348
15,14,-11127.2154
16,14,-10643.3347
17,14,-10787.359
18,14,-11482.6595
19,14,-12326.8839
20,14,-13535.2274
21,14,-13694.2441
22,14,-14032.1404
23,14,-13959.3009
24,14,-14918.5391
25,14,-15744.35
26,14,-17138.1994
27,14,-17436
28,14,-19659
29,14,-20871
30,14,-22664
31,14,-23435
10,15,-9324
11,15,-9653
12,15,-9832.0193
13,15,-9523.9602
14,15,-10461.791
15,15,-10415.6324
16,15,-9668.5967
17,15,-9879.0727
18,15,-10554.504
19,15,-11109.5009
20,15,-12332.0163
21,15,-11576.5922
22,15,-12923.5461
23,15,-14048.8619
24,15,-14975.8218
25,15,-16514.4895
26,15,-17214.2477
27,15,-17803
28,15,-18874
29,15,-20135
30,15,-21055
31,15,-21575
32,15,-21885
10,16,-8385
11,16,-8884
12,16,-9096.8986
13,16,-9346.661
14,16,-9343.167
15,16,-9082.9421
16,16,-6947.6559
17,16,-7115.6926
18,16,-7923.6429
19,16,-8322.0883
20,16,-9011.3676
21,16,-8807.0137
22,16,-9294.4477
23,16,-11196.1074
24,16,-12826.6402
25,16,-14861.9837
26,16,-15892.3645
27,16,-16940.7282
28,16,-17296.028
29,16,-18965
30,16,-18625
31,16,-19554
32,16,-19346
33,16,-19124
11,17,-8175
12,17,-8593
13,17,-8723
14,17,-8800.436
15,17,-8611.7653
16,17,-6475.4069
17,17,-6664.1457
18,17,-6997.903
19,17,-7642.0475
20,17,-7849.1172
21,17,-7674.3302
22,17,-7367.3246
23,17,-9731.6896
24,17,-10736.0951
25,17,-12635.1209
26,17,-13809.7908
27,17,-14764.7
28,17,-15707.6929
29,17,-17251.7068
30,17,-17046
31,17,-17815
32,17,-17646
33,17,-17565
34,17,-16945
12,18,-8034
13,18,-8590
14,18,-8698.4711
15,18,-8714.7873
16,18,-6743.9542
17,18,-6429.6731
18,18,-6640.921
19,18,-6786.7364
20,18,-7208.0532
21,18,-6820.9014
22,18,-6800.675
23,18,-8595.9996
24,18,-9986.378
25,18,-11272.0549
26,18,-12260.3265
27,18,-13187.1372
28,18,-14558.4231
29,18,-15596.7293
30,18,-15575.6067
31,18,-16145
32,18,-16295
33,18,-16115
34,18,-16194
35,18,-16025
13,19,-8705
14,19,-8907
15,19,-8320
16,19,-6563.2566
17,19,-6507.3916
18,19,-6221.777
19,19,-6785.5898
20,19,-7218.5796
21,19,-6438.4047
22,19,-6222.913
23,19,-7648.8307
24,19,-9200.0923
25,19,-10648.5952
26,19,-11733.3678
27,19,-13007.0756
28,19,-13977.3871
29,19,-14230.4245
30,19,-13773.8671
31,19,-14417.8198
32,19,-15360
33,19,-15282
34,19,-15460
35,19,-15275
36,19,-16245
37,19,-16804
13,20,-9364
14,20,-9606
15,20,-8560
16,20,-6675.7297
17,20,-6176.6909
18,20,-6105.1265
19,20,-6660.3337
20,20,-7039.7755
21,20,-6615.1452
22,20,-6257.3824
23,20,-7591.5931
24,20,-8853.7456
25,20,-10169.6366
26,20,-11141.8475
27,20,-12759.7706
28,20,-13976.5233
29,20,-13954.1172
30,20,-12242.8911
31,20,-13389.9515
32,20,-14336.2605
33,20,-14752
34,20,-14355
35,20,-14586
36,20,-14556
37,20,-15775
38,20,-16516
14,21,-9585
15,21,-8264
16,21,-6185
17,21,-5454
18,21,-5424.7488
19,21,-5531.0869
20,21,-6267.0746
21,21,-5745.1591
22,21,-4805.8704
23,21,-6705.454
24,21,-7937.6884
25,21,-9164.5284
26,21,-10186.364
27,21,-11147.5013
28,21,-12371.7195
29,21,-11548.1068
30,21,-9963.287
31,21,-10663.9943
32,21,-11582.9747
33,21,-11134.9967
34,21,-10751.567
35,21,-10803.1358
36,21,-11508.8464
37,21,-12754
38,21,-13725
39,21,-14955
40,21,-16055
41,21,-17045
42,21,-18105
15,22,-8285
16,22,-5945
17,22,-5115
18,22,-4967.1884
19,22,-4986.3846
20,22,-5470.7658
21,22,-4457.8001
22,22,-5127.1001
23,22,-6297.2739
24,22,-8005.8918
25,22,-8953.6551
26,22,-9449.1378
27,22,-10176.6978
28,22,-10717.1735
29,22,-9813.2154
30,22,-7677.7458
31,22,-8006.3463
32,22,-8579.4981
33,22,-7925.0749
34,22,-7581.6397
35,22,-7439.0568
36,22,-8181.9971
37,22,-9654
38,22,-11014.223
39,22,-12235
40,22,-13094
41,22,-14095
42,22,-14905
43,22,-16225
16,23,-6955
17,23,-6105
18,23,-5895
19,23,-5795
20,23,-6168.5473
21,23,-5709.6423
22,23,-5668.9974
23,23,-7379.8098
24,23,-8243.8356
25,23,-9086.8859
26,23,-9314.7513
27,23,-9886.5127
28,23,-10291.1787
29,23,-9363.8644
30,23,-7714.1438
31,23,-7786.0627
32,23,-8299.699
33,23,-8084.756
34,23,-8090.4245
35,23,-8417.566
36,23,-9193.4251
37,23,-9996.469
38,23,-11222.3845
39,23,-12158.5104
40,23,-13335.5063
41,23,-14194
42,23,-15035
43,23,-16035
44,23,-17238
17,24,-7185
18,24,-6735
19,24,-6895
20,24,-6853.3757
21,24,-6242.1787
22,24,-6792.1331
23,24,-7672.4178
24,24,-7697.6429
25,24,-8747.0017
26,24,-8558.0106
27,24,-8938.0185
28,24,-9351.4721
29,24,-9148.5212
30,24,-7928.4276
31,24,-7802.2745
32,24,-8232.3457
33,24,-8068.4674
34,24,-8672.9111
35,24,-8708.378
36,24,-9910.4207
37,24,-10519.5695
38,24,-12359.8588
39,24,-12724
40,24,-13965.1963
41,24,-14365
42,24,-15365
43,24,-15835
44,24,-16635
45,24,-17265
18,25,-7625
19,25,-7434
20,25,-7715
21,25,-7223
22,25,-7074.9344
23,25,-7913.4808
24,25,-8158.3999
25,25,-7975.9054
26,25,-8661.0715
27,25,-8658.2974
28,25,-9153.1088
29,25,-8759.9225
30,25,-7934.3526
31,25,-7893.5501
32,25,-8059.5201
33,25,-8354.2169
34,25,-8825.1083
35,25,-9209.4612
36,25,-9731.9824
37,25,-10518.2968
38,25,-11701.3594
39,25,-12326.5545
40,25,-13215.1387
41,25,-13962.1446
42,25,-14265
43,25,-15025
44,25,-15674
45,25,-16575
46,25,-17301
19,26,-8427
20,26,-8275
21,26,-7584
22,26,-7011.5928
23,26,-7660.8442
24,26,-7429.8051
25,26,-8051.0084
26,26,-7935.6981
27,26,-8040.0472
28,26,-8418.1672
29,26,-8455.623
30,26,-7612.5711
31,26,-7319.315
32,26,-7644.8077
33,26,-7979.5497
34,26,-8552.9625
35,26,-8820.4339
36,26,-9311.1648
37,26,-9944.6142
38,26,-10485.9676
39,26,-11146.3156
40,26,-11640.1511
41,26,-11955.032
42,26,-12682
43,26,-13314
44,26,-14175
45,26,-15085
46,26,-15985
47,26,-16785
48,26,-17444
20,27,-9175
21,27,-8155
22,27,-7225
23,27,-7596.5711
24,27,-7200.6861
25,27,-7472.2505
26,27,-7464.3663
27,27,-7808.097
28,27,-8211.6868
29,27,-7754.0471
30,27,-7080.224
31,27,-6713.9617
32,27,-6942.2118
33,27,-7163.6874
34,27,-7836.8152
35,27,-8021.7469
36,27,-8751.1403
37,27,-9249.4117
38,27,-9867.9915
39,27,-10309.4923
40,27,-10859.6387
41,27,-11078.4662
42,27,-11843.0192
43,27,-12199.487
44,27,-13214
45,27,-13805
46,27,-15035
47,27,-15515
48,27,-16366
49,27,-16915
50,27,-17634
21,28,-8303
22,28,-7094
23,28,-6945
24,28,-6976.1961
25,28,-7305.0135
26,28,-7226.768
27,28,-7571.6918
28,28,-8000.4694
29,28,-7561.3934
30,28,-6399.1718
31,28,-6100.3272
32,28,-6290.9959
33,28,-6464.9281
34,28,-7016.0846
35,28,-7272.8498
36,28,-8110.7755
37,28,-8630.2096
38,28,-9553.1526
39,28,-10531.9749
40,28,-10919.1863
41,28,-11185.67
42,28,-11570.9376
43,28,-12122.7358
44,28,-12754
45,28,-13334
46,28,-14235
47,28,-14736
48,28,-15365
49,28,-15785
50,28,-16645
51,28,-15885
52,28,-15075
23,29,-6034
24,29,-5785
25,29,-6075
26,29,-6718.1722
27,29,-6710.6698
28,29,-7074.5541
29,29,-6082.6991
30,29,-4753.374
31,29,-4729.6603
32,29,-5063.3206
33,29,-5365.1666
34,29,-5774.9461
35,29,-6198.8966
36,29,-6790.4145
37,29,-7258.8057
38,29,-7892.9165
39,29,-8199.5171
40,29,-8975.9315
41,29,-8992.7554
42,29,-9814.2669
43,29,-10565.3316
44,29,-11026.9132
45,29,-11906.1651
46,29,-12525.2049
47,29,-13106
48,29,-13318
49,29,-13674
50,29,-14272
51,29,-13444
52,29,-12425
53,29,-12834
24,30,-4667
25,30,-5044
26,30,-5255
27,30,-5344
28,30,-5445.4753
29,30,-4304.633
30,30,-2691.7371
31,30,-2689.8611
32,30,-3364.133
33,30,-3481.5119
34,30,-3955.6904
35,30,-4114.9114
36,30,-4577.7049
37,30,-4792.4005
38,30,-5333.0365
39,30,-5717.0257
40,30,-5983.3706
41,30,-6011.0138
42,30,-7106.5881
43,30,-8039.6706
44,30,-8967.7678
45,30,-9577.5964
46,30,-10501.8715
47,30,-11105.9596
48,30,-11208
49,30,-11617
50,30,-11883
51,30,-11274
52,30,-9859
53,30,-10555
54,30,-11015
55,30,-11435
56,30,-11767
25,31,-4385
26,31,-4695
27,31,-4725
28,31,-4550
29,31,-3386
30,31,-2250.564
31,31,-2744.0868
32,31,-2613.5612
33,31,-2912.4803
34,31,-3098.3398
35,31,-3361.1014
36,31,-3724.2037
37,31,-4086.5521
38,31,-4489.0583
39,31,-5076.7769
40,31,-5244.489
41,31,-5446.1568
42,31,-6388.0384
43,31,-7498.1613
44,31,-8174.4206
45,31,-8938.5575
46,31,-9429.8235
47,31,-10122.7886
48,31,-10503.0519
49,31,-10666.963
50,31,-11190.0495
51,31,-10566.1672
52,31,-9274.0056
53,31,-9840
54,31,-10259
55,31,-10455
56,31,-10904
57,31,-11095
26,32,-4303
27,32,-4525
28,32,-4565
29,32,-3665
30,32,-2266
31,32,-2130.4585
32,32,-2565.9487
33,32,-2554.2332
34,32,-2863.8682
35,32,-2885.2049
36,32,-3399.6969
37,32,-3613.5655
38,32,-4087.7235
39,32,-4451.1966
40,32,-5003.6716
41,32,-5304.542
42,32,-6282.6188
43,32,-6953.1026
44,32,-7492.3194
45,32,-8044.3752
46,32,-8530.2538
47,32,-9393.1793
48,32,-9657.2063
49,32,-9927.408
50,32,-10356.7489
51,32,-9969.0563
52,32,-8924.7319
53,32,-9348.6734
54,32,-9510.8824
55,32,-9725
56,32,-10114
57,32,-10365
58,32,-10834
27,33,-4225
28,33,-4215
29,33,-3305
30,33,-2165
31,33,-2367
32,33,-2227.3099
33,33,-2462.9778
34,33,-2465.0484
35,33,-2486.6167
36,33,-2879.6108
37,33,-3035.1605
38,33,-3439.0167
39,33,-3568.6697
40,33,-4049.8527
41,33,-4374.8295
42,33,-5319.9921
43,33,-6128.0157
44,33,-6641.9066
45,33,-7192.2595
46,33,-7600.3576
47,33,-8342.869
48,33,-8965.8774
49,33,-8826.2579
50,33,-9545.892
51,33,-9054.8095
52,33,-7986.1063
53,33,-8456.3401
54,33,-8785.7008
55,33,-8781
56,33,-9211
57,33,-9655
58,33,-10055
59,33,-10414
29,34,-2905
30,34,-1754
31,34,-1655
32,34,-1945
33,34,-2083.989
34,34,-2298.8618
35,34,-2381.4068
36,34,-2747.7748
37,34,-2897.7126
38,34,-3314.3058
39,34,-3551.6379
40,34,-4076.0901
41,34,-4687.7481
42,34,-5090.965
43,34,-5726.8804
44,34,-6028.4165
45,34,-6485.4088
46,34,-6971.505
47,34,-7601.0649
48,34,-8156.7527
49,34,-8238.2794
50,34,-8837.3322
51,34,-8546.8657
52,34,-7513.016
53,34,-7874.6064
54,34,-8160.6839
55,34,-8293.8875
56,34,-8825.2118
57,34,-9415
58,34,-9629
59,34,-10245
60,34,-10758
30,35,-1715
31,35,-1574
32,35,-1454
33,35,-1684
34,35,-1747.3374
35,35,-1825.4591
36,35,-2340.1101
37,35,-2592.1389
38,35,-2958.521
39,35,-3379.1039
40,35,-3638.6787
41,35,-4484.1859
42,35,-4706.9771
43,35,-5017.0201
44,35,-5458.7803
45,35,-6022.5572
46,35,-6485.6324
47,35,-7106.6229
48,35,-7802.5561
49,35,-7993.4091
50,35,-8467.0803
51,35,-7951.7497
52,35,-6647.2698
53,35,-7287.315
54,35,-7510.0352
55,35,-7463.0724
56,35,-7914.3037
57,35,-8208
58,35,-8785
59,35,-9084
60,35,-9775
61,35,-10255
31,36,-1127
32,36,-1192
33,36,-1546
34,36,-1865
35,36,-2171.8328
36,36,-2176.0492
37,36,-2541.9595
38,36,-2826.8603
39,36,-3602.0327
40,36,-3570.433
41,36,-4366.9712
42,36,-4389.9886
43,36,-4697.7164
44,36,-5066.4115
45,36,-5521.618
46,36,-5990.7594
47,36,-6498.0934
48,36,-7104.7739
49,36,-7516.2375
50,36,-8096.6968
51,36,-7793.9036
52,36,-6168.4808
53,36,-6547.0654
54,36,-6881.0001
55,36,-6972.7569
56,36,-7310.0413
57,36,-7568.5199
58,36,-7972.473
59,36,-8003.7065
60,36,-8783
61,36,-8988
62,36,-9742
63,36,-10365
34,37,-2186
35,37,-1964
36,37,-2177.0492
37,37,-2915.3049
38,37,-3141.1912
39,37,-3842.2541
40,37,-3609.6291
41,37,-4072.1818
42,37,-4120.6745
43,37,-4311.314
44,37,-4646.8018
45,37,-5160.5606
46,37,-5427.4879
47,37,-6294.8654
48,37,-6615.2058
49,37,-7673.2418
50,37,-8008.9963
51,37,-7250.826
52,37,-5561.8361
53,37,-6158.2274
54,37,-6278.2791
55,37,-6481.3982
56,37,-6770.5447
57,37,-6987.401
58,37,-7207.9217
59,37,-7546.4543
60,37,-8053.8253
61,37,-9144
62,37,-9696
63,37,-10481
64,37,-10992
65,37,-11627
35,38,-2235
36,38,-2152
37,38,-2716.4067
38,38,-2731.9792
39,38,-3676.6012
40,38,-3267.0212
41,38,-3580.9484
42,38,-3722.6774
43,38,-3783.5986
44,38,-4256.695
45,38,-4780.2418
46,38,-5181.0413
47,38,-5832.0065
48,38,-6356.2206
49,38,-7314.349
50,38,-7907.1994
51,38,-7153.6017
52,38,-5110.1848
53,38,-5367.3346
54,38,-5600.9911
55,38,-5974.9649
56,38,-6311.3773
57,38,-6568.2265
58,38,-6573.8352
59,38,-6869.5875
60,38,-7499.5245
61,38,-8784.5222
62,38,-9160.7388
63,38,-10326.3317
64,38,-10464
65,38,-11305
66,38,-11715
67,38,-12035
36,39,-1955
37,39,-2345
38,39,-2852
39,39,-2682
40,39,-3009.1491
41,39,-3093.9896
42,39,-3307.3346
43,39,-3553.586
44,39,-3827.8097
45,39,-4143.8787
46,39,-4810.3435
47,39,-5520.203
48,39,-6372.6635
49,39,-6964.9701
50,39,-7968.7774
51,39,-6174.8256
52,39,-4178.4353
53,39,-4632.4058
54,39,-4939.6726
55,39,-5410.8157
56,39,-5887.8045
57,39,-5982.4522
58,39,-5920.4705
59,39,-6150.8723
60,39,-7178.3391
61,39,-8391.806
62,39,-8960.5579
63,39,-9228.4047
64,39,-9760.7993
65,39,-10239
66,39,-10427
67,39,-10963
68,39,-11235
69,39,-11755
37,40,-2075
38,40,-2447
39,40,-2577
40,40,-2937
41,40,-2145.8909
42,40,-2865.0297
43,40,-2856.9112
44,40,-3535.1406
45,40,-4071.9778
46,40,-4383.877
47,40,-4974.4469
48,40,-5404.2094
49,40,-6199.5999
50,40,-6674.3634
51,40,-5440.4314
52,40,-2962.3109
53,40,-3337.9171
54,40,-3743.3025
55,40,-4432.9066
56,40,-4996.4051
57,40,-5275.7652
58,40,-4860.9525
59,40,-4924.3017
60,40,-5879.4039
61,40,-7005.2287
62,40,-7583.9543
63,40,-7715.3826
64,40,-8325.0712
65,40,-8558.2752
66,40,-9015
67,40,-9165
68,40,-9615
69,40,-9964
70,40,-10344
71,40,-10655
38,41,-2255
39,41,-2595
40,41,-2347
41,41,-2062
42,41,-2234.8911
43,41,-2470.5959
44,41,-2991.6814
45,41,-3494.8792
46,41,-4093.7368
47,41,-4702.0317
48,41,-5208.5392
49,41,-5803.3469
50,41,-6044.5564
51,41,-4579.1774
52,41,-1926.5536
53,41,-2297.0667
54,41,-2859.8664
55,41,-3211.2518
56,41,-3800.5572
57,41,-3598.0554
58,41,-3552.3225
59,41,-3886.1757
60,41,-5200.949
61,41,-6434.4331
62,41,-6809.8529
63,41,-6914.6714
64,41,-7285.6759
65,41,-7454.9528
66,41,-7691.6869
67,41,-7890
68,41,-8545
69,41,-8944
70,41,-9415
71,41,-9715
72,41,-10154
39,42,-2285
40,42,-1945
41,42,-1995
42,42,-1835
43,42,-2410.2578
44,42,-2921.7797
45,42,-3398.0735
46,42,-3689.7767
47,42,-4264.6639
48,42,-4628.4067
49,42,-5286.6035
50,42,-5604.6291
51,42,-4354.0211
52,42,-2066.4479
53,42,-2241.1963
54,42,-2760.7814
55,42,-2847.5887
56,42,-3271.5647
57,42,-2735.0817
58,42,-3179.0846
59,42,-3008.1745
60,42,-4704.024
61,42,-5762.5771
62,42,-6395.9277
63,42,-6594.7166
64,42,-6971.4921
65,42,-7160.8972
66,42,-7456.5535
67,42,-7625.9268
68,42,-8211
69,42,-8345
70,42,-8955
71,42,-9345
72,42,-9885
73,42,-10494
74,42,-11215
75,42,-11774
40,43,-2094
41,43,-1705
42,43,-1914
43,43,-2186
44,43,-2502.0572
45,43,-2901.3749
46,43,-3540.0884
47,43,-4015.5513
48,43,-4537.0803
49,43,-5179.0638
50,43,-5405.2773
51,43,-3921.7168
52,43,-1808.2432
53,43,-1793.2738
54,43,-2436.5124
55,43,-2488.0667
56,43,-2966.5136
57,43,-2843.0366
58,43,-3166.7118
59,43,-3473.225
60,43,-4693.4923
61,43,-5132.6391
62,43,-5819.7313
63,43,-5902.9035
64,43,-6146.2153
65,43,-6536.7498
66,43,-6792.1978
67,43,-7256.8012
68,43,-7725.7868
69,43,-8138.6503
70,43,-8546.665
71,43,-8715.2955
72,43,-9261
73,43,-9569
74,43,-10355
75,43,-10755
76,43,-11715
77,43,-12194
41,44,-1595
42,44,-1825
43,44,-1815
44,44,-2594
45,44,-3284.5795
46,44,-3197.7899
47,44,-3779.9314
48,44,-4039.5737
49,44,-4626.695
50,44,-4836.0038
51,44,-3673.8405
52,44,-1696.7139
53,44,-1738.4011
54,44,-2235.708
55,44,-2338.4283
56,44,-2857.4178
57,44,-2838.3281
58,44,-3415.3703
59,44,-3721.9773
60,44,-4327.6506
61,44,-4839.5072
62,44,-5187.3028
63,44,-5333.1499
64,44,-5742.5722
65,44,-5832.5835
66,44,-6369.5417
67,44,-6665.2664
68,44,-7306.4913
69,44,-7633.4473
70,44,-8110.3143
71,44,-8590.3979
72,44,-9014
73,44,-9265
74,44,-9745
75,44,-9955
76,44,-10935
77,44,-11356
78,44,-11835
79,44,-12395
43,45,-1585
44,45,-2226
45,45,-2488
46,45,-3304
47,45,-3753.7096
