n,z,alpha(keV)
97,74,3956.7502
98,74,3838.4505
99,74,3564.5912
100,74,3601.851
101,74,3373.6349
102,74,3335.7073
103,74,3285.143
104,74,3012.6016
105,74,2761.6004
106,74,2515.269
107,74,2221.8846
108,74,1764.3059
109,74,1672.4576
110,74,1649.1074
111,74,1590.1709
112,74,1116.118
113,74,954.5871
114,74,406.6565
115,74,86
116,74,-369.5342
117,74,-601
118,74,-1215
119,74,-1465
120,74,-2035
84,75,6758
85,75,6697.7533
86,75,6328.2117
87,75,6240.3702
88,75,6011.9883
89,75,5926.3426
90,75,5694.3058
91,75,5519.1536
92,75,5276
93,75,5062.9999
94,75,5013.7087
95,75,4768.8681
96,75,4675.8637
97,75,4402.1586
98,75,4311.6495
99,75,4039.6532
100,75,4007.0509
101,75,3842.1765
102,75,3702.4523
103,75,3662.3981
104,75,3399.4248
105,75,3103.0999
106,75,2772.4177
107,75,2727
108,75,2122.8775
109,75,2288.8955
110,75,2195.1007
111,75,2078.4485
112,75,1652.0823
113,75,1397.6565
114,75,990.3585
115,75,599.6717
116,75,120.2261
117,75,-104
118,75,-697
119,75,-965
120,75,-1465
121,75,-1684
122,75,-1966
123,75,-2285
85,76,7068.8572
86,76,6767.7834
87,76,6672.5656
88,76,6479.4339
89,76,6335.4935
90,76,6142.7746
91,76,5984.6624
92,76,5815.6444
93,76,5713.4159
94,76,5536.8635
95,76,5371.0583
96,76,5224.3737
97,76,5054.7005
98,76,4870.5053
99,76,4555.819
100,76,4541.0909
101,76,4346.0242
102,76,4257.9345
103,76,4187.747
104,76,3860.4949
105,76,3726.8471
106,76,3373.0407
107,76,3206.571
108,76,2958.7617
109,76,3003.1208
110,76,2821.1964
111,76,2721.7317
112,76,2143.2356
113,76,1976.1535
114,76,1375.8612
115,76,1083.8887
116,76,360.6614
117,76,-10
118,76,-491.2599
119,76,-760.3359
120,76,-1082
121,76,-1315
122,76,-1615
123,76,-1955
124,76,-2235
125,76,-2394
86,77,7069
87,77,6970
88,77,6823
89,77,6722.3507
90,77,6504.8887
91,77,6381.295
92,77,6141.0216
93,77,6230
94,77,5997
95,77,5990.5999
96,77,5715.8754
97,77,5693.1435
98,77,5430.8581
99,77,5260.0002
100,77,5081.5294
101,77,4993.8714
102,77,4781.6767
103,77,4660.4446
104,77,4381.224
105,77,4176.8591
106,77,3957.2578
107,77,3801.5924
108,77,3756.9382
109,77,3848.8777
110,77,3835.3702
111,77,3449.948
112,77,2944.4793
113,77,2748.79
114,77,2082.8062
115,77,1756.3336
116,77,1017.8763
117,77,626.3225
118,77,233.1739
119,77,-271.6095
120,77,-457.3975
121,77,-875
122,77,-1263
123,77,-1635
124,77,-1914
125,77,-2075
126,77,-2065
87,78,7453.005
88,78,7292.2662
89,78,7158.0892
90,78,6989.7297
91,78,6857.6107
92,78,6707.4081
93,78,6607.3757
94,78,6463.409
95,78,6361.3102
96,78,6183.1682
97,78,6163.6377
98,78,5884.8064
99,78,5642.8977
100,78,5572.9819
101,78,5412.3174
102,78,5276.3933
103,78,5150.0349
104,78,4950.9069
105,78,4822.0248
106,78,4598.7954
107,78,4436.9081
108,78,4319.7459
109,78,4553.4825
110,78,4006.6799
111,78,3911.587
112,78,3268.6121
113,78,3095.7631
114,78,2423.86
115,78,2082.2089
116,78,1522.8078
117,78,1176.4449
118,78,812.8492
119,78,549.7104
120,78,106.2426
121,78,-302.0194
122,78,-746.9711
123,78,-1086
124,78,-1517
125,78,-1665
126,78,-1495
127,78,-405
128,78,865
129,78,706
89,79,7588
90,79,7382
91,79,7177.3107
92,79,7085.2291
93,79,6923.3037
94,79,6836.4832
95,79,6699.2937
96,79,6583.4278
97,79,6433.4907
98,79,6297.8037
99,79,6057.9921
100,79,5981.0233
101,79,5831.3605
102,79,5751.3689
103,79,5525.4222
104,79,5465.3158
105,79,5233.8999
106,79,5179.9695
107,79,4911.9106
108,79,4748.4422
109,79,4814.6247
110,79,4328.6837
111,79,3913.8945
112,79,3326.5503
113,79,3147.8557
114,79,2619.9072
115,79,2116.7489
116,79,1716.8497
117,79,1271.9973
118,79,971.6373
119,79,526.0677
120,79,173.6501
121,79,-229.488
122,79,-561.4987
123,79,-1068
124,79,-1169.8255
125,79,-1245
126,79,-1155
127,79,25
128,79,1305
129,79,1235
130,79,945
90,80,7773.23
91,80,7667.6865
92,80,7523.8007
93,80,7378.0245
94,80,7233.2692
95,80,7072.2101
96,80,6897.1154
97,80,6736.0198
98,80,6577.346
99,80,6350.8448
100,80,6258.4894
101,80,6284.3935
102,80,5995.6845
103,80,6038.556
104,80,5660.1723
105,80,5772.9305
106,80,5204.4457
107,80,5229.7718
108,80,4709.2193
109,80,4636.8499
110,80,4068.9065
111,80,3668.5968
112,80,3384.5726
113,80,2982.3243
114,80,2697.6359
115,80,2260.0784
116,80,2037.6656
117,80,1514.5303
118,80,1380.8702
119,80,822.8961
120,80,716.3547
121,80,332.3295
122,80,133.7923
123,80,-305.4191
124,80,-515.8858
125,80,-971.9289
126,80,-678.5156
127,80,598
128,80,1930
129,80,1785
130,80,1515
131,80,1324
132,80,1095
95,81,7477.8231
96,81,7066.9981
97,81,7020.0433
98,81,6709.1387
99,81,6705.6128
100,81,6322.0712
101,81,6550.8999
102,81,5976.3946
103,81,6317.3754
104,81,5688.4793
105,81,5996.1199
106,81,5321.9796
107,81,5557.3954
108,81,4817.1285
109,81,4923.7044
110,81,4320.9137
111,81,4074.1501
112,81,3679.8238
113,81,3471.1265
114,81,3217.7026
115,81,2850.6697
116,81,2625.6917
117,81,2258.2809
118,81,2082.7481
119,81,1666.5746
120,81,1534.0571
121,81,1175.4578
122,81,907.5272
123,81,469.1081
124,81,154.9875
125,81,-325.2275
126,81,-315.9084
127,81,1215
128,81,2501
129,81,2518
130,81,2138
131,81,1934
132,81,1589
133,81,1360
96,82,7789.4724
97,82,7596.1352
98,82,7418.6542
99,82,7240.276
100,82,7065.8734
101,82,6927.9999
102,82,6774.0111
103,82,6694.9999
104,82,6471.0721
105,82,6392.7844
106,82,6108.8469
107,82,5914.7158
108,82,5697.5361
109,82,5402.3497
110,82,5221.5895
111,82,4972.2075
112,82,4737.843
113,82,4428.8935
114,82,4238.3307
115,82,3891.8643
116,82,3691.5934
117,82,3356.6915
118,82,3150.1704
119,82,2844.2822
120,82,2588.7914
121,82,2334.6679
122,82,1968.5365
123,82,1467.4514
124,82,1134.8875
125,82,392.3186
126,82,516.7129
127,82,2248.2291
128,82,3792.3827
129,82,3569.5178
130,82,3291.5622
131,82,2981
132,82,2692
133,82,2308
134,82,2065
135,82,1635
136,82,1434
137,82,1085
138,82,785
101,83,8220
102,83,8138
103,83,7756.7999
104,83,7779.0701
105,83,7263.6388
106,83,7268.165
107,83,6862.1185
108,83,6780.325
109,83,6376.9499
110,83,6306.6261
111,83,5918.2999
112,83,5832.4683
113,83,5438.3004
114,83,5365.1071
115,83,5138.7308
116,83,4932.7597
117,83,4701.1089
118,83,4500.2999
119,83,4352.9828
120,83,4109.5879
121,83,3976.3845
122,83,3690.2933
123,83,3527.3026
124,83,3281.8388
125,83,3051.0029
126,83,3137.2975
127,83,5036.4728
128,83,6750.4042
129,83,6207.2619
130,83,5988.2062
131,83,5621.2999
132,83,5282.3552
133,83,5000
134,83,4521.2357
135,83,4327
136,83,3865
137,83,3664
138,83,3116
139,83,2815
102,84,8501.1712
103,84,7978.8999
104,84,8082.2927
105,84,7694.2999
106,84,7693.2733
107,84,7493.3085
108,84,7319.625
109,84,7093.8012
110,84,6987.074
111,84,6749.673
112,84,6658.1987
113,84,6411.2605
114,84,6309.672
115,84,6074.2948
116,84,5981.6352
117,84,5799.303
118,84,5700.9575
119,84,5495.9999
120,84,5484.8964
121,84,5324.7186
122,84,5327.024
123,84,5215.8665
124,84,5215.692
125,84,4979.2314
126,84,5407.5307
127,84,7594.5602
128,84,8954.1948
129,84,8536.139
130,84,7833.5408
131,84,7526.3255
132,84,6906.3495
133,84,6662.1342
134,84,6114.7544
135,84,5914.1999
136,84,5329
137,84,5089
138,84,4432
139,84,4034
140,84,3355
106,85,7822.2726
107,85,7695.6261
108,85,7572.4246
109,85,7454.4999
110,85,7344.1362
111,85,7196.4462
112,85,7104.3928
113,85,6889.3574
114,85,6777.2734
115,85,6596.2229
116,85,6472.8382
117,85,6353.8287
118,85,6210.0934
119,85,6070.4062
120,85,6019.571
121,85,5886.5504
122,85,5872.4955
123,85,5751.1098
124,85,5756.8804
125,85,5631.1855
126,85,5982.4474
127,85,7817.0863
128,85,9254.1513
129,85,8987.8374
130,85,8177.6168
131,85,7949.705
132,85,7201.3529
133,85,6876.0822
134,85,6341.8333
135,85,6076.8447
136,85,5627.8506
137,85,5312.0741
138,85,4683
139,85,4327
140,85,3675
141,85,3285
142,85,2765
143,85,2385
107,86,8039.9999
108,86,7862.4159
109,86,7694.0999
110,86,7616.7366
111,86,7410.7546
112,86,7349.3816
113,86,7131.8922
114,86,7043.3611
115,86,6860.7498
116,86,6773.8018
117,86,6629.8682
118,86,6546.652
119,86,6386.486
120,86,6383.7351
121,86,6251.1611
122,86,6260.7403
123,86,6155.4331
124,86,6158.9884
125,86,5965.4548
126,86,6385.072
127,86,8245.15
128,86,9208.4798
129,86,8838.5865
130,86,8197.8049
131,86,7887.1691
132,86,7262.4699
133,86,6946.1921
134,86,6404.7417
135,86,6162.9859
136,86,5590.3894
137,86,5283.4618
138,86,4756.7202
139,86,4335.4705
140,86,3836.0102
141,86,3382
142,86,2908
143,86,2358
144,86,2196
145,86,1844
110,87,7896.3752
111,87,7869.272
112,87,7816.7717
113,87,7621.8374
114,87,7518.9119
115,87,7385.3686
116,87,7274.8739
117,87,7170.2862
118,87,7054.7093
119,87,6923.3316
120,87,6888.6707
121,87,6785.4078
122,87,6777.4589
123,87,6670.9639
124,87,6662.2514
125,87,6528.987
126,87,6904.6577
127,87,8588.8563
128,87,9540.4127
129,87,9174.255
130,87,8469.2686
131,87,8013.6758
132,87,7448.6065
133,87,6800.7379
134,87,6457.737
135,87,5852.9689
136,87,5561.3922
137,87,4947.95
138,87,4612.9568
139,87,4142.5952
140,87,3829.5211
141,87,3248.2873
142,87,2944
143,87,2402
144,87,2225
145,87,1768
146,87,1606
113,88,8001.5326
114,88,7880.3036
115,88,7736.2613
116,88,7636.6358
117,88,7486.3498
118,88,7415.2578
119,88,7273.1168
120,88,7273.1333
121,88,7143.0886
122,88,7150.8409
123,88,7041.6957
124,88,7031.7107
125,88,6861.6908
126,88,7272.5886
127,88,8862.4086
128,88,9525.7696
129,88,9160.5687
130,88,8540.3045
131,88,8137.9268
132,88,7593.8629
133,88,6880.3948
134,88,6677.8757
135,88,5978.9916
136,88,5788.9231
137,88,5096.7734
138,88,4870.7028
139,88,4362.8095
140,88,4070.1799
141,88,3602.9038
142,88,3344.1964
143,88,2905.7377
144,88,2828.5731
145,88,2546.746
146,88,2336
147,88,2155
116,89,8093.1999
117,89,7958.2999
118,89,7844.8999
119,89,7728.6302
120,89,7729.7872
121,89,7586.022
122,89,7567.5897
123,89,7539.6118
124,89,7498.2578
125,89,7351.864
126,89,7745.9488
127,89,9240.8187
128,89,9831.6047
129,89,9384.2563
130,89,8826.4999
131,89,8347.8172
132,89,7791.4696
133,89,7137.4413
134,89,6783.1999
135,89,6326.8999
136,89,5935.138
137,89,5506.1819
138,89,5042.2697
139,89,4721.1237
140,89,4444.4184
141,89,3892.9309
142,89,3655.4921
143,89,3345.286
144,89,3214.8682
145,89,2929.5101
146,89,2851.6694
147,89,2723.2474
148,89,2675
118,90,8202.0281
119,90,8166
120,90,8068.9919
121,90,7937.4924
122,90,7958.0367
123,90,7836.9514
124,90,7827.1772
125,90,7664.6478
126,90,8072.3838
127,90,9435.3069
128,90,9849.0906
129,90,9505.8694
130,90,8973.1556
131,90,8625.474
132,90,8132.5665
133,90,7566.6333
134,90,7298.5734
135,90,6921.3999
136,90,6452.5282
137,90,6146.5981
138,90,5520.1511
139,90,5167.5578
140,90,4770.0202
141,90,4213.431
142,90,4081.5999
143,90,3744.7638
144,90,3671.7365
145,90,3376.3498
146,90,3333.3314
147,90,3196.1195
148,90,3169
149,90,2945
120,91,8481.0817
121,91,8410.7525
122,91,8384.3916
123,91,8270.8999
124,91,8236.1363
125,91,8099.2828
126,91,8488.8028
127,91,9791.3805
128,91,10127.7574
129,91,9703.745
130,91,9247.6999
131,91,8788.5999
132,91,8343.1452
133,91,7693.6799
134,91,7400.6757
135,91,6986.8864
136,91,6580.3999
137,91,6264.5352
138,91,5834.6274
139,91,5439.4263
140,91,5149.9071
141,91,4626.9789
142,91,4374.5584
143,91,4075.5678
144,91,4101.1318
145,91,3754.616
146,91,3794.6703
147,91,3627.9328
148,91,3555
149,91,3364
150,91,3295
123,92,8587.9999
124,92,8530.6272
125,92,8426
126,92,8774.8074
127,92,9949.6039
128,92,10290
129,92,9889.2999
130,92,9481.171
131,92,9157.5821
132,92,8628.2368
133,92,8007.1594
134,92,7700.8428
135,92,7234.7157
136,92,6799.5044
137,92,6475.5112
138,92,5992.4518
139,92,5576.2769
140,92,5413.63
141,92,4908.6781
142,92,4857.5319
143,92,4678.0559
144,92,4572.9562
145,92,4233.5748
146,92,4269.8581
147,92,4129.9984
148,92,4035.3789
149,92,3817
150,92,3670
151,92,3555
126,93,9207.4978
127,93,10226.3078
128,93,10431
129,93,10200.157
130,93,9650.4434
131,93,9328.9344
132,93,8818.2451
133,93,8327.5999
134,93,7816.4881
135,93,7538
136,93,7019.8216
137,93,6778.0999
138,93,6368.3999
139,93,6011
140,93,5626.7668
141,93,5356.3467
142,93,5193.7905
143,93,5006.629
144,93,4957.273
145,93,4690.8116
146,93,4597.1881
147,93,4557.358
148,93,4362.5759
149,93,4097.9171
150,93,4044
151,93,3805
152,93,3685
127,94,10534
128,94,10740
129,94,10400
130,94,9842
131,94,9355
132,94,8932
133,94,8300
134,94,7940.2027
135,94,7598.0069
136,94,7178.4564
137,94,6838.6275
138,94,6715.998
139,94,6416.2999
140,94,6310.0537
141,94,5951.4789
142,94,5867.1471
143,94,5747.6353
144,94,5593.2729
145,94,5244.5216
146,94,5255.8215
147,94,5140.0664
148,94,4984.2282
149,94,4756.9774
150,94,4665.6077
151,94,4556
152,94,4350
153,94,4305
128,95,10838
129,95,10361
130,95,10055
131,95,9270
132,95,9096
133,95,8392
134,95,8137.3999
135,95,7630
136,95,7406
137,95,7170
138,95,7059
139,95,6800
140,95,6575.9999
141,95,6256.1999
142,95,6196
143,95,6041.6999
144,95,5922.3999
145,95,5707.1
146,95,5637.8203
147,95,5588.5003
148,95,5439.0849
149,95,5137.9904
150,95,5160.3857
151,95,5152
152,95,4922
153,95,4898
154,95,4829
135,96,8075
136,96,7800
137,96,7473.4999
138,96,7365.3254
139,96,7280
140,96,7066.9897
141,96,6770.3999
142,96,6670.301
143,96,6539.6999
144,96,6397.7981
145,96,6185.1919
146,96,6215.6349
147,96,6168.7999
148,96,5901.5999
149,96,5624.4928
150,96,5475.1197
151,96,5353.6281
152,96,5161.8109
153,96,5147.6071
154,96,5169.8993
155,96,5013
136,97,8166
137,97,8098.5999
138,97,7935
139,97,7697
140,97,7500
141,97,7330
142,97,7200
143,97,7199
144,97,6986
145,97,6906
146,97,6874.3533
147,97,6778.7999
148,97,6454.5246
149,97,6073.9824
150,97,5889.5999
151,97,5827.0015
152,97,5520.9999
153,97,5533
154,97,5650
155,97,5547
156,97,5400
139,98,8219.9999
140,98,8130
141,98,7763.4507
142,98,7710.9834
143,98,7655
144,98,7516.8626
145,98,7418
146,98,7328.9581
147,98,7258.4655
148,98,6861.6127
149,98,6502.5408
150,98,6361.1999
151,98,6293.2928
152,98,6128.5082
153,98,6176.9599
154,98,6216.9469
155,98,6125.9499
156,98,5926.8918
157,98,5736
158,98,5560
140,99,8435
141,99,8258.7789
142,99,8258.6223
143,99,8160.1152
144,99,8072.1077
145,99,7936
146,99,7909.3581
147,99,7642
148,99,7463.8478
149,99,7160
150,99,6936
151,99,6834
152,99,6597.11
153,99,6738.642
154,99,6739.2376
155,99,6617.2299
156,99,6436.3399
157,99,6225
158,99,6050
159,99,5884
141,100,8857
142,100,8697
143,100,8689.1999
144,100,8550
145,100,8440
146,100,8379.289
147,100,8257.6677
148,100,7994.7808
149,100,7709.0754
150,100,7557.0492
151,100,7424.4999
152,100,7153.7437
153,100,7197.8999
154,100,7307.2696
155,100,7240.5682
156,100,7025.2702
157,100,6863.6599
158,100,6660
159,100,6470
160,100,6300
143,101,8946.9999
144,101,9006
145,101,8888.7896
146,101,8764.3999
147,101,8497.2929
148,101,8441
149,101,8155.4227
150,101,7963.4399
151,101,7743
152,101,7573.0769
153,101,7802
154,101,7905.606
155,101,7737
156,101,7557.0699
157,101,7271.2827
158,101,7050
159,101,6940
160,101,6750
161,101,6540
146,102,9300
147,102,9170
148,102,8950
149,102,8751.714
150,102,8548.6616
151,102,8414.6374
152,102,8226.2032
153,102,8428.2098
154,102,8581.5194
155,102,8476.5999
156,102,8150
157,102,7853.9999
158,102,7700
159,102,7440
160,102,7250
161,102,7000
162,102,6820
148,103,9469
149,103,9164.3375
150,103,8917.6035
151,103,8821.8308
152,103,8555.6408
153,103,8854.5692
154,103,9067.744
155,103,8904.4827
156,103,8584
157,103,8396
158,103,8140
159,103,7990
160,103,7680
161,103,7400
162,103,7230
163,103,7570
149,104,9430
150,104,9210
151,104,9055.4615
152,104,8925.7062
153,104,9082.7769
154,104,9196.1101
155,104,9130
156,104,8900
157,104,8646.2528
158,104,8490
159,104,8252
160,104,8040
161,104,7810
162,104,7610
163,104,7890
164,104,8040
150,105,9340
151,105,9336.131
152,105,9205.8985
153,105,9436.8999
154,105,9618.7999
155,105,9501
156,105,9218
157,105,9046
158,105,8834
159,105,8560
160,105,8400
161,105,8210
162,105,7920
163,105,8260
164,105,8490
165,105,8310
152,106,9670
153,106,9765.0775
154,106,9900.5871
155,106,9713.6999
156,106,9599.8187
157,106,9403.263
158,106,9210
159,106,9051
160,106,8800
161,106,8625
162,106,8300
163,106,8577.4408
164,106,8870
165,106,8748
166,106,8620
153,107,10400.2999
154,107,10500.2083
155,107,10319.4999
156,107,10080
157,107,9860
158,107,9662
159,107,9426
160,107,9230
161,107,9020
162,107,8670
163,107,9064.4999
164,107,9419.9999
165,107,9302.9999
166,107,9110
167,107,8939.9999
155,108,10733.4999
156,108,10590.7541
157,108,10470.3244
158,108,10345.6864
159,108,10037.5052
160,108,9760
161,108,9274
162,108,9069.8978
163,108,9460
164,108,9780
165,108,9649.9999
166,108,9550
167,108,9449.9999
168,108,9240
169,108,9030
156,109,11120
157,109,10995.6467
158,109,10870
159,109,10768
160,109,10480
161,109,10180
162,109,9910
163,109,10350
164,109,10880
165,109,10595
166,109,10482.6999
167,109,10099.9999
168,109,9900
169,109,9579.9999
170,109,9380
171,109,9135
172,109,8875
173,109,8660
157,110,11776.7587
158,110,11660
159,110,11509.5104
160,110,11116.9933
161,110,10869.9743
162,110,10690
163,110,11366.8999
164,110,11660
165,110,11550
166,110,11110
167,110,10900
168,110,10420
169,110,10107
170,110,9710
171,110,9473
172,110,9145
173,110,8905
174,110,8615
161,111,11197.4272
162,111,11160
163,111,11477.8999
164,111,11870
165,111,11480
166,111,11200
167,111,10846.2999
168,111,10529.9999
169,111,10148.7999
170,111,9900
171,111,9550
172,111,9370
173,111,9035
174,111,8905
175,111,8630
164,112,11852
165,112,11622.1999
166,112,11220
167,112,10930
168,112,10690
169,112,10429.9999
170,112,10150
171,112,9888
172,112,9670
173,112,9388
174,112,9235
175,112,9115
176,112,9046
165,113,11992.7999
166,113,11640
167,113,11428
168,113,10978
169,113,10783.1999
170,113,10417
171,113,10280.0027
172,113,10009.9999
173,113,9789.9999
174,113,9650
175,113,9575
176,113,9396
177,113,9380
170,114,10700
171,114,10559.9999
172,114,10355.0663
173,114,10166.7999
174,114,10076.4873
175,114,9954.1798
176,114,9856.1659
177,114,9705
172,115,10759.9999
173,115,10649.9999
174,115,10489.9999
175,115,10409.9999
176,115,10300
177,115,10205
173,116,11100
174,116,10996.8334
175,116,10889.9999
176,116,10791.1897
177,116,10677.3271
174,117,11480
175,117,11530
176,117,11319.9999
177,117,11179.9999
175,118,11920
176,118,11867.3266
177,118,11700
