n,z,betaMinus(keV)
1,0,782.347
2,1,18.59202
3,1,22196.2131
4,1,21661.2131
5,1,24283.6294
6,1,23062
1,2,-13736
2,2,-22898.274
3,2,-447.6529
4,2,3505.2147
5,2,11166.0229
6,2,10663.8784
7,2,15980.9213
8,2,16144.5191
2,3,-25460
3,3,-4288.1534
4,3,-861.893
5,3,16004.1329
6,3,13606.4541
7,3,20445.1411
8,3,20551.0898
9,3,23931.8152
10,3,23321.8152
2,4,-28945
3,4,-11907.5551
4,4,-17979.8973
5,4,-1068.0349
6,4,556.8759
7,4,11509.4607
8,4,11708.3636
9,4,17097.1315
10,4,16290.8166
11,4,20868.4411
12,4,20335.4399
3,5,-12142.7002
4,5,-16494.4854
5,5,-3648.0623
6,5,-1981.6889
7,5,13369.3979
8,5,13436.9387
9,5,20643.7926
10,5,19084.2343
11,5,23417.5656
12,5,22684.4422
13,5,26873.3742
14,5,27356.4961
15,5,31898.0019
16,5,32740
4,6,-23101.3545
5,6,-13716.2469
6,6,-17338.0681
7,6,-2220.4718
8,6,156.4765
9,6,9771.7071
10,6,8010.226
11,6,13161.8007
12,6,11806.0982
13,6,16557.4995
14,6,15737.0689
15,6,20411
16,6,21846.3983
17,6,27450
4,7,-23373.2693
5,7,-14675.2668
6,7,-17769.9506
7,7,-5144.3643
8,7,-2754.1841
9,7,10420.9094
10,7,8678.843
11,7,13895.9838
12,7,12523.3972
13,7,17970.3261
14,7,17169.8816
15,7,22481.7725
16,7,22099.0584
17,7,28438
18,7,28654
5,8,-18915
6,8,-23956.6215
7,8,-13711.13
8,8,-15412.184
9,8,-2760.4655
10,8,-1655.9288
11,8,4820.3029
12,8,3813.6349
13,8,8109.639
14,8,6489.6562
15,8,11336.1072
16,8,10955.8885
17,8,15994.8633
18,8,15986.3855
19,8,19536
20,8,18676
6,9,-23648.6215
7,9,-13311.5932
8,9,-14548.7507
9,9,-4444.5049
10,9,-3239.4986
11,9,7024.4689
12,9,5684.1712
13,9,10818.0916
14,9,8439.3084
15,9,13496.1583
16,9,13369.6698
17,9,18193.5414
18,9,18082.568
19,9,22104.0579
20,9,21750.3873
21,9,25680
22,9,25661
7,10,-18219.1277
8,10,-19720.3745
9,10,-11177.331
10,10,-13892.4207
11,10,-3546.919
12,10,-2843.3243
13,10,4375.8085
14,10,2466.2583
15,10,7322.3107
16,10,7341.894
17,10,12568.7005
18,10,12288.0534
19,10,15719.8092
20,10,14805.4501
21,10,18935.5625
22,10,18359
23,10,22350
24,10,21161
8,11,-18909.0095
9,11,-10627.2054
10,11,-13088.708
11,11,-4781.4051
12,11,-4056.179
13,11,5515.6774
14,11,3834.9684
15,11,9353.7631
16,11,9068.8037
17,11,14031.6303
18,11,13292.3538
19,11,17356.0423
20,11,15368.1833
21,11,19469.0523
22,11,18817.24
23,11,23356.7903
24,11,22192
25,11,25523
26,11,24923
27,11,27831
28,11,27201
9,12,-16186
10,12,-18601
11,12,-12221.7457
12,12,-13884.766
13,12,-4276.808
14,12,-4004.4042
15,12,2610.2694
16,12,1830.774
17,12,7595.4023
18,12,6982.744
19,12,11828.5569
20,12,10270.4677
21,12,13460.255
22,12,11320.9428
23,12,15863.5156
24,12,14429.7751
25,12,18401.9132
26,12,17604
27,12,21286
28,12,20729
29,12,23510
9,13,-15439
10,13,-17202
11,13,-10793.9978
12,13,-12743.2956
13,13,-5069.1361
14,13,-4812.3583
15,13,4642.0776
16,13,3687.3192
17,13,8568.8459
18,13,7998.3286
19,13,12978.3208
20,13,12016.946
21,13,16994.0653
22,13,14167.7504
23,13,18386.5096
24,13,16381.0765
25,13,20640
26,13,19169
27,13,23154
28,13,21390
29,13,25150
30,13,23940
10,14,-23275
11,14,-16363
12,14,-18114
13,14,-11725.473
14,14,-14344.9407
15,14,-4942.2325
16,14,-4232.1065
17,14,1491.5071
18,14,227.1872
19,14,5823.0223
20,14,4557.0175
21,14,10466.3291
22,14,7814.9194
23,14,12424.5003
24,14,10451.2656
25,14,15094.9874
26,14,13806.0653
27,14,18180
28,14,15748
29,14,19289
30,14,18200
31,14,21130
11,15,-16707
12,15,-18150
13,15,-11221.0593
14,15,-13858.4257
15,15,-6141.6014
16,15,-5398.013
17,15,1710.6608
18,15,248.5079
19,15,5382.9879
20,15,3988.4006
21,15,10413.0962
22,15,7900.4135
23,15,12239.6512
24,15,10388.0361
25,15,14698.6603
26,15,14028.8125
27,15,18729.5899
28,15,17236
29,15,20314
30,15,19301
31,15,22200
32,15,21610
12,16,-24197
13,16,-17117
14,16,-18733.802
15,16,-12007.979
16,16,-12680.8313
17,16,-5582.5182
18,16,-5491.6037
19,16,167.3218
20,16,-1142.1329
21,16,4865.1258
22,16,2936.9
23,16,6637.5463
24,16,4719.9687
25,16,8298.6116
26,16,7194.0221
27,16,11964.05
28,16,11274.7373
29,16,14922
30,16,14375
31,16,16781
32,16,16670
33,16,19652
12,17,-23947
13,17,-17397
14,17,-18360
15,17,-11134.3536
16,17,-11619.0452
17,17,-6061.793
18,17,-5966.2429
19,17,709.5343
20,17,-813.8729
21,17,4916.7109
22,17,3441.9774
23,17,7482.0816
24,17,5760.318
25,17,9590.9082
26,17,7850.3002
27,17,12194.2869
28,17,11508.2568
29,17,16036.3062
30,17,15787
31,17,18075
32,17,17800
33,17,20930
34,17,20780
35,17,23739
13,18,-22935
14,18,-24190
15,18,-16925
16,18,-17158
17,18,-11874.3955
18,18,-12814.3607
19,18,-6147.4775
20,18,-5914.0671
21,18,565
22,18,-1504.4031
23,18,2492.0392
24,18,599.3527
25,18,4565.5836
26,18,3108.2375
27,18,6844.8422
28,18,5642.6746
29,18,10344.7078
30,18,9929.555
31,18,12551
32,18,12498
33,18,16026
34,18,15758
35,18,19086
36,18,17710
14,19,-23489
15,19,-16110
16,19,-16363
17,19,-10966.0155
18,19,-11664.1314
19,19,-6742.2563
20,19,-6524.4888
21,19,1310.9051
22,19,-421.6406
23,19,3525.2626
24,19,1833.4783
25,19,5687.2319
26,19,4196.5868
27,19,7725.6802
28,19,6632.6837
29,19,11940.3857
30,19,11688.5069
31,19,13861.3774
32,19,13816.8529
33,19,17128.6431
34,19,17091.9853
35,19,20010
36,19,19121
37,19,21491
38,19,20689
39,19,23461
40,19,22940
15,20,-21910
16,20,-22601
17,20,-16916
18,20,-17809
19,20,-13109.9804
20,20,-14323.0493
21,20,-6495.5482
22,20,-6426.2904
23,20,-2220.7227
24,20,-3652.6948
25,20,260.091
26,20,-1377.9665
27,20,1992.177
28,20,279.2155
29,20,5262.4445
30,20,4947.8903
31,20,6918.0432
32,20,6257.2889
33,20,9381.8471
34,20,9277.3463
35,20,12191.7329
36,20,12005.458
37,20,14820
38,20,13949
39,20,16639
40,20,15550
41,20,18510
16,21,-21390
17,21,-15619
18,21,-16673
19,21,-11529.9139
20,21,-12944.8214
21,21,-7016.6496
22,21,-6872.5591
23,21,-267.4488
24,21,-2062.0551
25,21,2366.626
26,21,600.7694
27,21,3988.8685
28,21,2001.5652
29,21,6894.747
30,21,6482.6122
31,21,8954.1372
32,21,8111.8785
33,21,11305.8789
34,21,10990.3608
35,21,13907.147
36,21,13022.1957
37,21,15438.0995
38,21,15050
39,21,17549
40,21,16870
41,21,19510
42,21,18930
17,22,-20070
18,22,-21463
19,22,-16008
20,22,-17485
21,22,-11399.2333
22,22,-13740.5071
23,22,-7123.8247
24,22,-7052.3723
25,22,-2930.5422
26,22,-4014.9467
27,22,-601.8555
28,22,-2208.6274
29,22,2470.1402
30,22,1965.334
31,22,4970.2419
32,22,4154.4548
33,22,7292.6673
34,22,6760.4051
35,22,10033.2148
36,22,9512.9152
37,22,11731
38,22,10987.704
39,22,13807
40,22,13013
41,22,15880
42,22,14840
43,22,17320
18,23,-20100
19,23,-14679
20,23,-15946
21,23,-10386.1805
22,23,-12371.64
23,23,-7604.3264
24,23,-7443.9769
25,23,-1656.6918
26,23,-2629.8047
27,23,1038.124
28,23,-752.3907
29,23,3976.4763
30,23,3435.9426
31,23,7037.1118
32,23,5985.1877
33,23,9101.727
34,23,8089.9214
35,23,11561.224
36,23,10505.3137
37,23,13821.0986
38,23,12319.3807
39,23,15639.4478
40,23,14438.1586
41,23,17320
42,23,16200
43,23,18840
44,23,17526
19,24,-19340
20,24,-20882
21,24,-14535
22,24,-17053.8226
23,24,-11996.7167
24,24,-13524.6692
25,24,-7712.4265
26,24,-7634.4776
27,24,-3207.4893
28,24,-4708.1214
29,24,-597.2679
30,24,-1377.1325
31,24,2602.2183
32,24,1626.5384
33,24,4961.2946
34,24,3835.7607
35,24,7409.3977
36,24,6059.4457
37,24,9245.6277
38,24,7671.3532
39,24,10708.7611
40,24,9349.0622
41,24,12657
42,24,11610
43,24,14311
44,24,13230
45,24,15730
46,24,14810
20,25,-19388
21,25,-13628
22,25,-15437
23,25,-11288.0685
24,25,-12869.1957
25,25,-8150.4267
26,25,-8054.04
27,25,-2379.2912
28,25,-3742.8664
29,25,696.3688
30,25,-231.1204
31,25,3695.4973
32,25,2695.7375
33,25,6327.7027
34,25,5139.629
35,25,8445.2283
36,25,7178.373
37,25,10354.092
38,25,8748.5685
39,25,11980.5117
40,25,10250.5576
41,25,13317.4543
42,25,12128
43,25,14977
44,25,13839
45,25,16440
46,25,15310
47,25,18080
48,25,17289
21,26,-17750
22,26,-19738
23,26,-14971
24,26,-16887.0566
25,26,-12847.0389
26,26,-13988.1167
27,26,-8288.1073
28,26,-8244.5478
29,26,-3451.4254
30,26,-4566.6455
31,26,-836.3589
32,26,-2307.9785
33,26,1564.8804
34,26,237.2633
35,26,3977.6759
36,26,2546.3427
37,26,6215.9238
38,26,4822.8898
39,26,7967.3036
40,26,6340.6944
41,26,9613.3678
42,26,7746
43,26,11186
44,26,9635
45,26,12440
46,26,11050
47,26,13980
48,26,12881
49,26,15861
50,26,15070
21,27,-16448
22,27,-18309
23,27,-14130
24,27,-15692
25,27,-11784.123
26,27,-13028.5485
27,27,-8731.7558
28,27,-8694.035
29,27,-2132.8689
30,27,-3261.697
31,27,381.5789
32,27,-1073.005
33,27,2822.8058
34,27,1323.8504
35,27,5322.0404
36,27,3661.3385
37,27,7306.5921
38,27,5940.5911
39,27,9597.7522
40,27,8420.9047
41,27,11821.2318
42,27,9593.2084
43,27,12688.9049
44,27,11036.3053
45,27,13926
46,27,12139
47,27,15160
48,27,13680
49,27,16530
50,27,15440
51,27,19560
24,28,-20680
25,28,-16491
26,28,-18038
27,28,-13700.5585
28,28,-15277.9163
29,28,-8774.9466
30,28,-8561.0204
31,28,-4798.3786
32,28,-6127.981
33,28,-2237.9663
34,28,-3958.8965
35,28,66.9768
36,28,-1674.6156
37,28,2137.8808
38,28,251.9958
39,28,3576.8654
40,28,2103.2205
41,28,5757.565
42,28,3762.5123
43,28,7304.8989
44,28,5556.9381
45,28,8879.2856
46,28,7306
47,28,10230
48,28,8791
49,28,11513
50,28,9910
51,28,14248
52,28,13440
53,28,15820
54,28,15010
25,29,-15538
26,29,-17366
27,29,-13240
28,29,-14759
29,29,-9368.9796
30,29,-9142.776
31,29,-4170.7922
32,29,-5635.1565
33,29,-1619.4548
34,29,-3366.4392
35,29,579.5996
36,29,-1351.6527
37,29,2640.9396
38,29,560.8226
39,29,4440.1115
40,29,2681.6854
41,29,6588.3675
42,29,4617.6517
43,29,8362.4883
44,29,6605.9659
45,29,9750.5077
46,29,8088.6967
47,29,11321.3964
48,29,9926.375
49,29,12693.768
50,29,11024.2629
51,29,14969
52,29,14289
53,29,16584
54,29,15900
55,29,18110
26,30,-21550
27,30,-17140
28,30,-18759
29,30,-13456
30,30,-14584
31,30,-9214.2438
32,30,-9181.0666
33,30,-5666.3294
34,30,-7171.1912
35,30,-3254.538
36,30,-5175.5
37,30,-1001.2201
38,30,-2921.1
39,30,909.9134
40,30,-654.5979
41,30,2810.3405
42,30,442.7892
43,30,4105.9329
44,30,2292.9057
45,30,5901.7231
46,30,3993.6241
47,30,7203.1495
48,30,6220.8433
49,30,9116.0536
50,30,7575.0553
51,30,11428.2924
52,30,10616.7652
53,30,12967
54,30,12264
55,30,14644
56,30,13699
27,31,-15960
28,31,-17390
29,31,-12060
30,31,-13345
31,31,-9847
32,31,-9625.8787
33,31,-4517.3237
34,31,-6179.2631
35,31,-2116.6879
36,31,-4205.438
37,31,-107.2555
38,31,-2227.1455
39,31,1651.8861
40,31,-232.4698
41,31,3997.6263
42,31,1598.1889
43,31,5372.8249
44,31,3396.3337
45,31,6916.2501
46,31,5220.5176
47,31,8157.9729
48,31,6978.8242
49,31,10311.6397
50,31,8663.7335
51,31,12484.3497
52,31,11719.3136
53,31,14054.2989
54,31,13379.3679
55,31,15640
56,31,14720
57,31,17129
28,32,-21890
29,32,-16590
30,32,-17720
31,32,-13421
32,32,-14783
33,32,-9541.167
34,32,-9581.957
35,32,-6086.4858
36,32,-8084.2715
37,32,-3988.4927
38,32,-6228.063
39,32,-2013.4
40,32,-4356.1019
41,32,-344.7759
42,32,-2562.3871
43,32,1177.2301
44,32,-921.5145
45,32,2703.4642
46,32,954.9114
47,32,4108.9014
48,32,2679.2869
49,32,6241.6189
50,32,4690.3523
51,32,8692.8893
52,32,7705.1329
53,32,10065.7253
54,32,9562.2229
55,32,12028
56,32,10930
57,32,13490
58,32,12520
30,33,-16650
31,33,-12673
32,33,-13917
33,33,-10365
34,33,-10006.9381
35,33,-4705.0786
36,33,-6677.4672
37,33,-2404.0737
38,33,-4746.742
39,33,-361.6194
40,33,-2725.3604
41,33,1353.1467
42,33,-864.7139
43,33,2960.5756
44,33,683.1627
45,33,4208.9819
46,33,2281.3849
47,33,5544.8861
48,33,3855.705
49,33,7488.4677
50,33,5671.2117
51,33,10094.1624
52,33,9224.4929
53,33,11541.0256
54,33,10808.2192
55,33,13434
56,33,12462
57,33,14810
58,33,14080
59,33,16344
31,34,-16529
32,34,-18091
33,34,-14051
34,34,-15398
35,34,-10175.2364
36,34,-10504.2727
37,34,-6644.0883
38,34,-8806.4384
39,34,-4581.6095
40,34,-6925.0492
41,34,-3062.4694
42,34,-4962.881
43,34,-1364.6792
44,34,-3573.7836
45,34,150.6016
46,34,-1870.4623
47,34,1588.0317
48,34,-95.2184
49,34,3673.178
50,34,1835.3638
51,34,6161.8335
52,34,5129.086
53,34,7465.5526
54,34,6831.764
55,34,9281.873
56,34,8200.0834
57,34,10527.1716
58,34,9509
59,34,12030
60,34,10846
61,34,13390
32,35,-16978
33,35,-13165
34,35,-14119
35,35,-10325
36,35,-10175.2155
37,35,-5121.1683
38,35,-7094.0287
39,35,-2956.3173
40,35,-4783.388
41,35,-1275.3724
42,35,-3065.3663
43,35,726.1153
44,35,-1625.7778
45,35,2004.4299
46,35,-280.8517
47,35,3093.1185
48,35,976.9222
49,35,4656.251
50,35,2904.8622
51,35,7633.4147
52,35,6817.8455
53,35,8975.3282
54,35,8261.5231
55,35,10958.9533
56,35,9866.6724
57,35,12536.5161
58,35,11245.7673
59,35,13698
60,35,12309
61,35,14872
62,35,13423
63,35,16070
35,36,-14037
36,36,-15611
37,36,-10540.1468
38,36,-10415.828
39,36,-7104.9299
40,36,-8534.6172
41,36,-5338.9516
42,36,-7242.856
43,36,-3639.5114
44,36,-5717.9785
45,36,-2239.4954
46,36,-4403.9824
47,36,-920.0039
48,36,-2680.3708
49,36,687
50,36,-518.6734
51,36,3888.2706
52,36,2917.709
53,36,5176.6042
54,36,4406.3133
55,36,6771.0748
56,36,6003.121
57,36,8483.8977
58,36,7215.0114
59,36,9731.3868
60,36,8272.6693
61,36,11095.646
62,36,10249
63,36,12721
64,36,11796
65,36,13987
36,37,-14061
37,37,-11089
38,37,-10600
39,37,-6231.4432
40,37,-7027.0566
41,37,-3761.4779
42,37,-5323.114
43,37,-1864.009
44,37,-3928.5695
45,37,-177.7503
46,37,-2273.0239
47,37,890.6058
48,37,-1064.051
49,37,1776.0972
50,37,282.2749
51,37,5312.6243
52,37,4496.6278
53,37,6585.3721
54,37,5906.901
55,37,8094.9212
56,37,7465.9434
57,37,10282.9297
58,37,9226.9772
59,37,11563.897
60,37,10061.5295
61,37,12053.2361
62,37,11397.3767
63,37,13551.6204
64,37,12757.4969
65,37,14906.9991
66,37,14120
67,37,16310
37,38,-14799
38,38,-15998
39,38,-11365
40,38,-11001
41,38,-7676.7291
42,38,-9163.305
43,38,-5815.2156
44,38,-7945.965
45,38,-4591.9435
46,38,-6755.1411
47,38,-3261.1584
48,38,-5240
49,38,-1861.6894
50,38,-3622.6
51,38,1502.1757
52,38,545.9674
53,38,2699.3714
54,38,1949.1237
55,38,4141.3118
56,38,3505.7517
57,38,6090.6528
58,38,5411.738
59,38,7534.7807
60,38,5866.3591
61,38,8125.2037
62,38,7503.7365
63,38,9729.8721
64,38,9013.3301
65,38,11177
66,38,10320
67,38,12380
68,38,11490
69,38,13720
38,39,-14839
39,39,-11323
40,39,-11033
41,39,-6388
42,39,-8188.5003
43,39,-4450.0341
44,39,-6294.0125
45,39,-2472.7471
46,39,-4666.9352
47,39,-1314.0763
48,39,-3671.2405
49,39,-670.1549
50,39,-2833.2285
51,39,2275.635
52,39,1544.271
53,39,3642.5294
54,39,2894.8723
55,39,4917.8589
56,39,4452.0031
57,39,7108.8741
58,39,6821.2382
59,39,8993.0098
60,39,6972.9398
61,39,9051.4949
62,39,8106.2003
63,39,10408.7856
64,39,9351.96
65,39,11638
66,39,10888
67,39,12959
68,39,12050
69,39,14170
70,39,13250
39,40,-15120
40,40,-16339
41,40,-11164
42,40,-11804
43,40,-8298.7493
44,40,-10227.8497
45,40,-6895.512
46,40,-8834.9627
47,40,-5472.6536
48,40,-7457.3187
49,40,-4252.2191
50,40,-6111.0165
51,40,-1257.5644
52,40,-2005.7335
53,40,90.8123
54,40,-900.2684
55,40,1126.3312
56,40,163.9704
57,40,2666.1038
58,40,2242.8547
59,40,4718.6736
60,40,3418.5098
61,40,5730.5011
62,40,4716.838
63,40,7219.674
64,40,6093.3367
65,40,8457.2728
66,40,7453
67,40,9704
68,40,8595
69,40,10960
70,40,10090
71,40,12480
72,40,11650
73,40,13870
40,41,-14900
41,41,-11440
42,41,-11273
43,41,-7024
44,41,-8769.9238
45,41,-5023.1337
46,41,-6989.6757
47,41,-3485.0021
48,41,-5610.8105
49,41,-2489.0165
50,41,-4429.1934
51,41,355.2968
52,41,-405.7609
53,41,2045.0163
54,41,925.6009
55,41,3192.059
56,41,1941.9038
57,41,4591.3681
58,41,3634.7623
59,41,6401.7829
60,41,4628.4637
61,41,7262.6008
62,41,5925.6639
63,41,8532.7512
64,41,7415.2411
65,41,9925.3249
66,41,8821.1703
67,41,11204.0998
68,41,9969.4851
69,41,12225.9002
70,41,10980
71,41,13410
72,41,12440
73,41,14720
74,41,13670
75,41,15980
41,42,-15020
42,42,-16470
43,42,-11660
44,42,-12541
45,42,-9194.7656
46,42,-11016.2515
47,42,-7620.0875
48,42,-9447.8181
49,42,-6222.1768
50,42,-7882.8841
51,42,-3200.9629
52,42,-4255.7476
53,42,-1690.5175
54,42,-2973.2411
55,42,-320.264
56,42,-1683.7664
57,42,1357.7631
58,42,-172.0776
59,42,2824.6411
60,42,1012.0557
61,42,3649.5889
62,42,2155.2212
63,42,4955.5157
64,42,3648.2494
65,42,6204.9921
66,42,5173.533
67,42,7623.5438
68,42,6498.7491
69,42,9084.862
70,42,7779
71,42,10162
72,42,8920
73,42,11247
74,42,10003
75,42,12450
76,42,10920
77,42,13590
42,43,-15220
43,43,-11800
44,43,-11960
45,43,-7331
46,43,-9025.4327
47,43,-5840.8951
48,43,-7746.8246
49,43,-4624.4922
50,43,-6389.3929
51,43,-1574.7296
52,43,-2563.5961
53,43,258.7369
54,43,-1103.8722
55,43,1792.6575
56,43,297.5156
57,43,3206.4401
58,43,1613.52
59,43,4533.5134
60,43,2663.2474
61,43,5596.7945
62,43,3648.2396
63,43,6547
64,43,5112.5985
65,43,7738.5736
66,43,6455.6267
67,43,9038.0654
68,43,7760.65
69,43,10371.9409
70,43,9056.2674
71,43,11620.919
72,43,10309
73,43,12855
74,43,11350
75,43,13710
76,43,11910
77,43,14720
78,43,13080
79,43,15475
44,44,-17479
45,44,-12719
46,44,-13250
47,44,-9670
48,44,-11302.1155
49,44,-8204.9136
50,44,-9675.9789
51,44,-5117.1423
52,44,-6392.6529
53,44,-3523
54,44,-5049.6529
55,44,-2040.8632
56,44,-3636.2612
57,44,-545.6846
58,44,-2323.1187
59,44,764.5378
60,44,-1136.4195
61,44,1916.7271
